RNA	protein	label
ENSMUST00000177130	A0A087WPR7	0
ENSMUST00000196766	B2RWS6	1
ENSMUST00000195611	B1AWL2	0
ENSMUST00000192074	Q6GYP7-2	0
ENSMUST00000147108	E9Q8T1	0
ENSMUST00000224064	A0A087WNL7	0
ENSMUST00000186821	B2RWS6	1
ENSMUST00000132267	Q01705	1
ENSMUST00000202881	Q9QYC1-2	0
ENSMUST00000146346	B2RWS6	1
ENSMUST00000222807	Q80U35	0
ENSMUST00000197930	Q01705	1
ENSMUST00000226704	Q4VA61	0
ENSMUST00000149025	Q6RT24	0
ENSMUST00000153659	Q01705	1
ENSMUST00000212695	F8VPM9	0
ENSMUST00000141428	Q9QX47-3	0
ENSMUST00000198021	P45481	1
ENSMUST00000239198	Q6PNC0	0
ENSMUST00000186654	Q62504-3	0
ENSMUST00000222088	Q62504-3	0
ENSMUST00000192563	Q80T79	0
ENSMUST00000137673	Q01705	1
ENSMUST00000181941	A0A0A0MQG2	0
ENSMUST00000183235	Q09XV5	1
ENSMUST00000197569	Q09XV5	1
ENSMUST00000222367	Q3UHL6	0
ENSMUST00000192391	Q4VA61	0
ENSMUST00000187100	P41233	0
ENSMUST00000141300	A2ADB0	0
ENSMUST00000233466	Q9JL19	0
ENSMUST00000218033	E9QPR7	0
ENSMUST00000198446	B2RWS6	1
ENSMUST00000180958	B2RWS6	1
ENSMUST00000224519	Q99246-3	0
ENSMUST00000123668	Q09XV5	1
ENSMUST00000206563	Q6RT24	0
ENSMUST00000223601	Q99NH0	0
ENSMUST00000203932	F6XPZ0	0
ENSMUST00000188962	Q01705	1
ENSMUST00000180634	A0A087WPR7	0
ENSMUST00000207134	Q09XV5	1
ENSMUST00000205855	B2RWS6	1
ENSMUST00000214407	Q3UH66-7	0
ENSMUST00000147378	B2RWS6	1
ENSMUST00000207140	Q3UHL6	0
ENSMUST00000145562	Q60841	0
ENSMUST00000181897	B1AWL2	0
ENSMUST00000223069	Q6KCD5-2	0
ENSMUST00000160698	A2AJK6	1
ENSMUST00000174277	Q5RIM6	0
ENSMUST00000180753	Q01705	1
ENSMUST00000180921	Q09XV5	1
ENSMUST00000208700	A3KFM7-2	0
ENSMUST00000189823	E9Q5W5	0
ENSMUST00000206436	E9Q1M6	0
ENSMUST00000195629	Q5SUG2	0
ENSMUST00000176201	B2RWS6	1
ENSMUST00000185516	Q09XV5	1
ENSMUST00000181485	Q09XV5	1
ENSMUST00000227059	A0A286YDF5	0
ENSMUST00000191894	Q09XV5	1
ENSMUST00000203832	A2AGH6	0
ENSMUST00000150471	B2RWS6	1
ENSMUST00000230697	P11881-2	0
ENSMUST00000205146	Q09XV5	1
ENSMUST00000195473	E9Q411	0
ENSMUST00000225045	A2AJX4	0
ENSMUST00000210090	E9PWX8	0
ENSMUST00000129868	Q6KCD5-2	0
ENSMUST00000197932	Q09XV5	1
ENSMUST00000193939	Q9WU42-2	0
ENSMUST00000181485	Q01705	1
ENSMUST00000168347	B2RWS6	1
ENSMUST00000188201	B2RWS6	1
ENSMUST00000202536	P45481	1
ENSMUST00000195326	B2RWS6	1
ENSMUST00000180519	A0A286YDF5	0
ENSMUST00000191623	J3QNP0	0
ENSMUST00000210776	Q09XV5	1
ENSMUST00000200747	B2RWS6	1
ENSMUST00000178129	B2RWS6	1
ENSMUST00000190120	B2RWS6	1
ENSMUST00000197569	B2RWS6	1
ENSMUST00000188763	B2RWS6	1
ENSMUST00000225128	A0A0G2JDZ9	0
ENSMUST00000195137	P45481	1
ENSMUST00000194454	Q6ZQ93-2	0
ENSMUST00000196451	Q61687	1
