RNA	protein	label
ENST00000444386	P56270	1
ENST00000662561	P04637	1
ENST00000447297	H0Y4M6	0
ENST00000691884	Q14353-2	0
ENST00000434547	P15336	1
ENST00000623705	O15409	1
ENST00000671406	Q16653-3	0
ENST00000591036	P35913-3	0
ENST00000431407	P17542	1
ENST00000377320	P09086	1
ENST00000526150	M0QZ22	0
ENST00000687159	O60704	0
ENST00000596379	P10071	1
ENST00000446001	Q99583	1
ENST00000536518	Q13772-3	0
ENST00000457385	P32519	1
ENST00000250776	A0A7I2YBM0	0
ENST00000566787	O75475	1
ENST00000588535	Q8NET8-3	0
ENST00000512859	Q01433-2	0
ENST00000457171	Q9UHB7	1
ENST00000587826	Q02446	1
ENST00000584958	Q9Y4F9	0
ENST00000653007	Q9NR50	0
ENST00000553754	H7C1S2	0
ENST00000604485	O60885	1
ENST00000411616	P03372	1
ENST00000591501	P17947	1
ENST00000629145	Q13547	1
ENST00000491676	Q15022	1
ENST00000438736	P29375	1
ENST00000438506	Q0VDG4	0
ENST00000663342	P15884	1
ENST00000561916	Q99081	1
ENST00000465466	Q13148	1
ENST00000623516	J3KT56	0
ENST00000426578	Q9BQA5	1
ENST00000513313	A0A0J9YXL8	0
ENST00000523598	Q8N4A0-2	0
ENST00000510317	O15516	1
ENST00000511875	Q99856	1
ENST00000507027	Q9Y2X3	1
ENST00000660993	Q9UKV0-8	0
ENST00000449656	P15884	1
ENST00000585759	G8JLH9	0
ENST00000429167	Q8N196	1
ENST00000608365	A0A8I5KYZ4	0
ENST00000515356	Q9NVM9	0
ENST00000577023	A6NDA9	0
ENST00000690619	M0QXT0	0
ENST00000455572	P28347	1
ENST00000504735	Q5T9C2-3	0
ENST00000663079	A0A7P0T8H9	0
ENST00000480811	Q9P0V9	0
ENST00000431171	P17509	1
ENST00000588535	P24394-2	0
ENST00000613987	Q4KMQ2	0
ENST00000424837	P17535	1
ENST00000685029	Q8N6G6-2	0
ENST00000666188	A0A5F9ZHQ3	0
ENST00000671555	A0A2R8Y6V4	0
ENST00000413339	Q32MQ0	1
ENST00000560452	H0Y7N0	0
ENST00000518993	A0A8I5KRA4	0
ENST00000412639	A0A804HLE1	0
ENST00000659895	Q96J65	0
ENST00000661778	P23759-2	0
ENST00000541749	Q15047	1
ENST00000654162	Q9HCM4-4	0
ENST00000648833	P11362-9	0
ENST00000656638	Q6P9H4	0
ENST00000663184	Q8WVF1-3	0
ENST00000665476	Q9UKF6	1
ENST00000667000	P01106	1
ENST00000530422	P52756	1
ENST00000442150	Q04206	1
ENST00000620496	J3KQ37	0
ENST00000537269	P15336	1
ENST00000481624	Q15047	1
ENST00000418598	P33240	1
ENST00000414480	P29375	1
ENST00000545520	H7C561	0
ENST00000412360	O75446	1
ENST00000623883	Q9UHY8	0
ENST00000666454	D6RBP8	0
ENST00000592636	P03372	1
ENST00000534036	P22736	1
ENST00000625557	Q86YS7-4	0
ENST00000423842	O14978	1
ENST00000691897	Q8TDB8-5	0
ENST00000593284	O14867	1
ENST00000665491	Q9Y2G4-4	0
ENST00000589433	A0A8I5KQG5	0
ENST00000457602	Q14683	1
ENST00000650020	P27816-5	0
ENST00000562842	D6REP5	0
ENST00000649990	Q9H9S0	1
ENST00000629828	P17861	1
ENST00000427290	A0A7P0TA63	0
ENST00000451410	P15884	1
ENST00000585946	E5RG39	0
ENST00000520190	P61073	0
ENST00000378340	Q9UBB5	1
ENST00000666991	P53990-4	0
ENST00000522755	P11171-7	0
ENST00000424733	Q86VG3	0
ENST00000655173	A0A7I2V4A3	0
ENST00000513366	P49711	1
ENST00000537068	Q9P227-2	0
ENST00000640300	Q8ND24-2	0
ENST00000444488	P17542	1
ENST00000601735	A0A499FJS1	0
ENST00000375641	Q9Y223-3	0
ENST00000605329	A0A7P0TBI2	0
ENST00000655989	Q9NVE5	0
ENST00000656728	Q8NGJ5	0
ENST00000659389	Q8N3U4-2	0
ENST00000665128	A6NEP9	0
ENST00000452222	P38398	1
ENST00000511707	Q5SW79-3	0
ENST00000485174	A0A804HJS9	0
ENST00000538041	P35659	1
ENST00000583148	Q99626	1
ENST00000670228	P15036	1
ENST00000447975	F8VWW7	0
ENST00000608206	P03372	1
ENST00000424026	Q16621	1
ENST00000602361	O75940	1
ENST00000565162	P51610	1
ENST00000434182	P50539	1
ENST00000661534	P55085	1
ENST00000608767	A0A140T9J3	0
ENST00000510459	P32243	1
ENST00000466292	Q00613	1
ENST00000654658	G5E973	0
ENST00000655209	Q1W6H9	0
ENST00000559615	P31271	1
ENST00000411694	Q9H3D4	1
ENST00000665753	O60884	0
ENST00000655093	Q5VWP3-2	0
ENST00000658187	H7C085	0
ENST00000653935	Q99750	0
ENST00000415386	O14646	1
ENST00000512618	Q7Z2W4-4	0
ENST00000422761	O60381	1
ENST00000411433	P49639	1
ENST00000654287	P19438-3	0
ENST00000445865	Q13148	1
ENST00000453370	Q15797	1
ENST00000366314	O75446	1
ENST00000419481	Q92786	1
ENST00000600419	J3KPV6	0
ENST00000434273	Q15047	1
ENST00000584414	Q1HG43-3	0
ENST00000656299	A0A1W2PRY5	0
ENST00000456146	Q9Y5J3	1
ENST00000506633	Q05195	1
ENST00000427799	Q9Y4F4-2	0
ENST00000412369	P40763	1
ENST00000601106	Q8NEM7	1
ENST00000629899	Q9P0N9-4	0
ENST00000534218	Q9UPS6-2	0
ENST00000627331	E5RK69	0
ENST00000582435	Q99496	1
ENST00000668648	Q14765	1
ENST00000623394	B8ZZZ9	0
ENST00000408887	Q15306	1
ENST00000479626	Q04726	1
ENST00000479030	Q13547	1
ENST00000434309	Q9NQH7	0
ENST00000551152	P15407	1
ENST00000542466	Q13342-3	0
ENST00000521203	A0A0A0MRY1	0
ENST00000614177	Q8IU85-2	0
ENST00000670067	J3QL56	0
ENST00000452509	P19793	1
ENST00000454401	O95238	1
ENST00000495318	A0A2R8Y4A4	0
ENST00000428176	Q8NI17-11	0
ENST00000612368	Q9NQB0-9	0
ENST00000441949	P49711	1
ENST00000650286	P25208	1
ENST00000657899	A0A087WVT3	0
ENST00000526269	Q92769	1
ENST00000650384	P39656-2	0
ENST00000566787	P68400	1
ENST00000669360	P55916-3	0
ENST00000403371	O60885	1
ENST00000598376	O00238	0
ENST00000440887	P32243	1
ENST00000423232	Q13227	1
ENST00000426929	P26368	1
ENST00000614205	A0A1W2PQV5	0
ENST00000635044	Q5TAA8	0
ENST00000422675	O43736	0
ENST00000624846	C9J5T4	0
ENST00000657287	O75446	1
ENST00000560481	P17025-2	0
ENST00000515728	P01106	1
ENST00000445873	Q8NI51	1
ENST00000562866	P12980	1
ENST00000517704	P35222	1
ENST00000416894	P11831	1
ENST00000582965	P06400	1
ENST00000529811	Q9UMR5	0
ENST00000432249	Q15853	1
ENST00000522670	Q9NZ01	0
ENST00000424026	O60216	1
ENST00000661481	E7EX48	0
ENST00000624929	A0A804HIS0	0
ENST00000626377	C9J2N8	0
ENST00000686755	Q9BSJ5-3	0
ENST00000422271	P31267	1
ENST00000424410	P81408-2	0
ENST00000456627	P33240	1
ENST00000564872	P23771	1
ENST00000569362	P52747	1
ENST00000510583	F5H142	0
ENST00000664449	P16157-10	0
ENST00000609075	Q96JZ2-2	0
ENST00000434973	K7EIK7	0
ENST00000584012	Q15545	1
ENST00000553979	P08047	1
ENST00000653549	Q07890-2	0
ENST00000587660	O75030	1
ENST00000667165	O95185-2	0
ENST00000578427	Q9Y6Q9	1
ENST00000504301	Q8ND94	0
ENST00000649739	Q9Y2I2-6	0
ENST00000581489	P38919	1
ENST00000664701	F8VS35	0
ENST00000564531	P25786	0
ENST00000650701	E9PHD9	0
ENST00000581579	P52948	1
ENST00000431171	P15923	1
ENST00000456633	P23246	1
ENST00000472120	P55085	1
ENST00000561964	A0A804HIJ3	0
ENST00000506304	P35222	1
ENST00000667346	Q9H582	1
ENST00000668079	P11912	0
ENST00000426358	Q9BTC8	1
ENST00000693740	Q8NI08-3	0
ENST00000455947	Q9HB55-2	0
ENST00000456273	P28324	1
ENST00000436942	Q9NQB0	1
ENST00000455711	P41182	1
ENST00000558797	Q8NDV7	1
ENST00000561362	Q8N5P1	1
ENST00000686718	A0A0G2JPR7	0
ENST00000452251	Q96AE7	0
ENST00000593284	Q9H6Z4-3	0
ENST00000527518	P50549	1
ENST00000417138	P01100	1
ENST00000657159	Q14CX7-2	0
ENST00000674893	Q8N7X0	0
ENST00000665116	A8MYB8	0
ENST00000503723	Q9UKL0	1
ENST00000500262	H7BYF2	0
ENST00000647739	O14524	0
ENST00000615012	P23771	1
ENST00000428772	A6NNT0	0
ENST00000644612	Q9NZI8	1
ENST00000443744	P18074	1
ENST00000661053	O43490-2	0
ENST00000487772	P0C7T2	0
ENST00000651664	Q7L591-3	0
ENST00000663284	Q15047	1
ENST00000456535	Q9H334	1
ENST00000656492	Q8NA03	0
ENST00000416774	Q96EK4	1
ENST00000438318	O95644	1
ENST00000606069	Q02447	1
ENST00000415255	O95365	1
ENST00000419151	P11473	1
ENST00000429228	Q9UBN7	1
ENST00000662063	P10275	1
ENST00000651712	P05181	0
ENST00000686674	Q86UR5-6	0
ENST00000517854	J3QR12	0
ENST00000615100	P23219-2	0
ENST00000606448	P04637	1
ENST00000424733	P26196	1
ENST00000669281	A0A494C0F7	0
ENST00000558797	P23771	1
ENST00000522863	Q9Y6F6	0
ENST00000664506	J3KN39	0
ENST00000644021	Q9HBK9	0
ENST00000548215	Q96F24	1
ENST00000616578	P25490	1
ENST00000471357	Q06587	1
ENST00000542265	P49810	0
ENST00000412410	P02671	0
ENST00000666189	O15117-3	0
ENST00000662951	H3BPP3	0
ENST00000591577	Q9NXR8	0
ENST00000686299	Q8NDA8-4	0
ENST00000431558	P04150	1
ENST00000440657	Q16254	1
ENST00000663700	Q9NVE5	0
ENST00000430641	P49715	1
ENST00000506633	P04637	1
ENST00000412143	Q9Y5K5	1
ENST00000560815	P29460	0
ENST00000438597	Q99081	1
ENST00000692478	H0YKT0	0
ENST00000457809	P15036	1
ENST00000565061	Q14814-3	0
ENST00000661755	Q15468	0
ENST00000449457	P38398	1
ENST00000664252	A0A087X230	0
ENST00000433952	Q14683	1
ENST00000654822	A0A7P0T8Y2	0
ENST00000567544	Q96DT7	1
ENST00000615012	Q9H3D4	1
ENST00000563570	Q6NUJ1	0
ENST00000440924	Q9HCX4-3	0
ENST00000515871	Q99081	1
ENST00000594752	Q9H1P3	0
ENST00000687892	Q8TBB6	0
ENST00000602767	O75030	1
ENST00000567966	Q99856	1
ENST00000639829	Q9HD43-3	0
ENST00000598478	H7C2X8	0
ENST00000617619	Q969G3-6	0
ENST00000532454	Q96ST3	1
ENST00000688670	Q03112-1	0
ENST00000562248	Q13330	0
ENST00000424435	O95238	1
ENST00000614011	F5H234	0
ENST00000436893	P52747	1
ENST00000656165	P21980-3	0
ENST00000515292	Q15291	1
ENST00000690045	O60885	1
ENST00000644194	Q9NWD8	0
ENST00000420243	P17735	1
ENST00000515871	O15409	1
ENST00000428272	P15884	1
ENST00000447757	E7EVR7	0
ENST00000515871	P04150	1
ENST00000438597	Q00653	1
ENST00000563937	Q6XZB0-2	0
ENST00000633779	E9PIR1	0
ENST00000662155	O00238	0
ENST00000661452	P98187	0
ENST00000475395	P36956	1
ENST00000579474	Q13887	1
ENST00000453284	Q9NYF8	1
ENST00000498413	P19419	1
ENST00000654792	Q6TCH7-2	0
ENST00000521487	Q9UKD1	1
ENST00000669540	Q9BYN8	0
ENST00000542466	O95696	1
ENST00000427748	Q15022	1
ENST00000297163	P15407	1
ENST00000429268	O75461	1
ENST00000662633	Q9Y6X2	0
ENST00000457706	P20719	1
ENST00000674834	Q6Q8B3-2	0
ENST00000473756	Q13263	1
ENST00000585236	H0Y882	0
ENST00000688145	Q8TE59	0
ENST00000644976	A0A0C4DFV7	0
ENST00000546686	Q14683	1
ENST00000423593	P55317	1
ENST00000428656	O75446	1
ENST00000554773	P01100	1
ENST00000589259	Q9Y5Q3	1
ENST00000498308	P39880	1
ENST00000421735	Q9UGL1	1
ENST00000608609	Q9Y2X9	1
ENST00000445865	O75593	1
ENST00000438736	Q9H9S0	1
ENST00000525330	Q99081	1
ENST00000659803	P51798-2	0
ENST00000598340	P15172	1
ENST00000566930	Q15561	1
ENST00000419679	Q99856	1
ENST00000686710	A0A7P0T9G6	0
ENST00000626198	Q9UBN7	1
ENST00000584705	Q99081	1
ENST00000442329	Q9NWF9-3	0
ENST00000673937	Q8TCD5	0
ENST00000664514	Q96M02-2	0
ENST00000663476	Q969W1-4	0
ENST00000586772	Q9H6N6	0
ENST00000662558	D6REY2	0
ENST00000599292	O15037	0
ENST00000618204	Q15291	1
ENST00000440013	Q92830	1
ENST00000605549	Q3KQU3-3	0
ENST00000592636	Q00056	1
ENST00000535487	P50548	1
ENST00000624345	O43524	0
ENST00000443523	Q86VG3	0
ENST00000647780	B4DZM6	0
ENST00000472913	Q9UQE7	1
ENST00000507403	H3BM10	0
ENST00000511330	Q9Y2T5	0
ENST00000517704	P20226	1
ENST00000653556	A7E2F4	0
ENST00000469484	Q15853	1
ENST00000510551	P52747	1
ENST00000600127	B1AMR3	0
ENST00000547006	P40426	1
ENST00000629028	Q9H334	1
ENST00000445785	P14921	1
ENST00000662118	O00548-2	0
ENST00000457171	Q9ULJ6	1
ENST00000668293	O75475-2	0
ENST00000409590	Q9UGL1	1
ENST00000563280	O96004	1
ENST00000670107	Q86XN8-3	0
ENST00000371813	P04637	1
ENST00000587826	P29375	1
ENST00000535163	A0A1B0GVF3	0
ENST00000417513	P01100	1
ENST00000444986	Q13886	1
ENST00000564834	A0A0A0MS43	0
ENST00000662867	Q96D21	0
ENST00000664399	C9IZY8	0
ENST00000663047	Q14207	1
ENST00000431401	Q8N6T7	1
ENST00000684854	A0A669KBD4	0
ENST00000666763	Q8N4F4-1	0
ENST00000691831	A0A087WU13	0
ENST00000666666	P53539-3	0
ENST00000420865	C9IZN7	0
ENST00000445982	Q9UQE7	1
ENST00000630100	P40426	1
ENST00000420230	P09086	1
ENST00000668428	Q6ZS17-2	0
ENST00000563759	P17010	1
ENST00000412344	H0YIN8	0
ENST00000457273	P20807-3	0
ENST00000660829	Q9P289-2	0
ENST00000647999	O75530	1
ENST00000654691	Q5T3I7	0
ENST00000519140	O75446	1
ENST00000692819	F8VUV1	0
ENST00000629828	P01100	1
ENST00000650620	A0A075B736	0
ENST00000658715	O95780-2	0
ENST00000307548	Q96M53	0
ENST00000499560	Q96NJ5	0
ENST00000539795	Q8IZV5	0
ENST00000409590	P08047	1
ENST00000603472	A0A3B3IT45	0
ENST00000564830	Q13263	1
ENST00000419013	P17676	1
ENST00000687777	A0A804HLH4	0
ENST00000670420	Q6YI46-4	0
ENST00000529769	A6NJ38	0
ENST00000642010	Q96IV0	0
ENST00000650463	Q04726	1
ENST00000421735	P48382	1
ENST00000658586	Q96DH6-2	0
ENST00000601433	P35670-5	0
ENST00000440657	Q5VWG9	1
ENST00000326734	Q9H334	1
ENST00000545424	Q9H936	0
ENST00000439074	Q01892	1
ENST00000418393	F8VRB8	0
ENST00000591501	P68400	1
ENST00000662384	Q8NB50-2	0
ENST00000630418	O43306	0
ENST00000665138	Q6ZS17-2	0
ENST00000575126	Q13761	1
ENST00000369989	Q13547	1
ENST00000669575	Q9UPU7	0
ENST00000693713	J3KNE7	0
ENST00000430692	P15884	1
ENST00000691884	A0A1W2PS91	0
ENST00000439367	P15172	1
ENST00000646009	Q969R2-2	0
ENST00000441001	O15350	1
ENST00000420998	P11308	1
ENST00000654779	A0A2R8Y7Z3	0
ENST00000424887	Q13127	1
ENST00000667178	P59046-4	0
ENST00000530583	P01100	1
ENST00000376800	Q9H0E9-3	0
ENST00000671129	A8MTM1	0
ENST00000557799	Q15562	1
ENST00000424026	P41182	1
ENST00000515264	Q92731	1
ENST00000606054	O75821	1
ENST00000562995	Q8WUD6-2	0
ENST00000444536	F5H209	0
ENST00000442839	P51610	1
ENST00000587826	Q00613	1
ENST00000590698	Q9Y2B1	0
ENST00000637749	P48431	1
ENST00000425385	Q96M98	0
ENST00000464125	Q86UA6-8	0
ENST00000465466	Q9NRR4	1
ENST00000553596	P40763	1
ENST00000513926	A6NJZ7	0
ENST00000688345	Q14697	0
ENST00000607459	Q96C74	0
ENST00000521819	A0A7I2V5K3	0
ENST00000656121	P15172	1
ENST00000471731	Q01892	1
ENST00000520443	P07358	0
ENST00000411856	A0A669KB22	0
ENST00000651424	Q86TM6	0
ENST00000448117	Q8N9R8	0
ENST00000607877	Q8IV61-2	0
ENST00000230113	Q5TGP6	0
ENST00000466343	O75864	0
ENST00000650463	Q15561	1
ENST00000658399	X6RL62	0
ENST00000505718	Q02548	1
ENST00000434792	P56177	1
ENST00000657921	A0A0A0MSE2	0
ENST00000648583	H3BM42	0
ENST00000621019	Q99496	1
ENST00000662632	Q7Z3S7-4	0
ENST00000653450	Q86TM6	0
ENST00000596585	P17535	1
ENST00000456032	Q8NEM7	1
ENST00000436418	A0A087WY29	0
ENST00000515720	H7BYB1	0
ENST00000692457	Q9P055-2	0
ENST00000427501	Q93052	0
ENST00000659930	Q9H9S0	1
ENST00000561916	O15350	1
ENST00000414992	Q15797	1
ENST00000425668	P20783	0
ENST00000667142	E9PFE2	0
ENST00000685556	Q7Z2D5	0
ENST00000451348	P15884	1
ENST00000541749	P17676	1
ENST00000536666	P10914	1
ENST00000658241	P15502-5	0
ENST00000624079	J3QRH5	0
ENST00000421563	Q70E73-9	0
ENST00000549844	Q96PE1-2	0
ENST00000435492	Q9UKL0	1
ENST00000670967	Q5VWG9	1
ENST00000454228	O75461	1
ENST00000653461	P49798-3	0
ENST00000660079	A0A1B0GVC6	0
ENST00000604481	A0A7P0T811	0
ENST00000659987	A0A7I2V5R7	0
ENST00000434493	Q32M84	0
ENST00000508339	H7C5E4	0
ENST00000592655	C9IZY8	0
ENST00000452962	P35659	1
ENST00000553435	P01106	1
ENST00000438318	Q01196	1
ENST00000577295	Q9UPP1	1
ENST00000544677	Q99767-2	0
ENST00000553644	O14802	0
ENST00000519500	P23511	1
ENST00000420364	Q99081	1
ENST00000670975	Q9Y3E7	0
ENST00000431171	P20226	1
ENST00000657020	D6RA26	0
ENST00000433499	Q9UH73	1
ENST00000499653	Q86W92-3	0
ENST00000562802	P38571-2	0
ENST00000625204	P20700	1
ENST00000526174	A0A024R0Y4	0
ENST00000471357	Q92800	1
ENST00000673597	P17535	1
ENST00000665693	P11488	0
ENST00000555969	Q86V59	0
ENST00000432229	Q92786	1
ENST00000435311	P25490	1
ENST00000689580	B1AK73	0
ENST00000670239	Q96P44	0
ENST00000658198	Q9UKD1	1
ENST00000532988	P06400	1
ENST00000473798	P15976	1
ENST00000635570	Q9BY77	0
ENST00000665565	F2Z2X2	0
ENST00000613868	O60216	1
ENST00000526089	O14503	1
ENST00000563632	Q96ST3	1
ENST00000580962	Q9BZV1	0
ENST00000602361	P35226	1
ENST00000586474	Q00403	1
ENST00000665801	Q13043	0
ENST00000565283	Q92922	1
ENST00000412178	Q13242	1
ENST00000686299	Q96A83-2	0
ENST00000663869	H0YA37	0
ENST00000421132	Q9H6I2	1
ENST00000502457	Q9Y294	1
ENST00000426840	Q9HC52	1
ENST00000425388	O96004	1
ENST00000504184	Q92900	1
ENST00000525534	Q9UEE9	0
ENST00000503870	P24468	1
ENST00000650463	Q14469	1
ENST00000477009	Q92800	1
ENST00000525706	Q9ULJ6	1
ENST00000601106	O60381	1
ENST00000657326	Q9H553-2	0
ENST00000638682	O43474	1
ENST00000420828	P11831	0
ENST00000594472	P10244	1
ENST00000597015	G3V3Y4	0
ENST00000432377	Q15561	1
ENST00000446592	Q969R2-2	0
ENST00000425057	O75446	1
ENST00000546512	F8VZY9	0
ENST00000488201	Q6ISB3	1
ENST00000652645	Q8WWY3-4	0
ENST00000658254	Q9NR81-3	0
ENST00000653471	O60524-2	0
ENST00000494761	Q8WVM7	1
ENST00000659784	P11308	1
ENST00000526089	Q13485	1
ENST00000579474	P22736	1
ENST00000598376	O75626	1
ENST00000670023	Q86VQ6	0
ENST00000565388	Q86VR7	0
ENST00000508851	Q8TAQ2	1
ENST00000432711	P29375	1
ENST00000524987	P10589	1
ENST00000418554	Q5VT52-2	0
ENST00000658254	A0A8I5QJ58	0
ENST00000668157	P29590	1
ENST00000562811	P48431	1
ENST00000621777	D6RFE8	0
ENST00000532454	P17275	1
ENST00000515487	P15172	1
ENST00000554454	I3L145	0
ENST00000433105	Q99856	1
ENST00000441019	P51532	1
ENST00000424435	Q92754	1
ENST00000663295	Q86W50	0
ENST00000659701	Q9NQB0-13	0
ENST00000403371	Q15291	1
ENST00000562065	Q08050	1
ENST00000537288	O60216	1
ENST00000668932	Q5TIE3-4	0
ENST00000606448	Q8WVM7	1
ENST00000598340	O95365	1
ENST00000416432	P07910	1
ENST00000431813	Q06546	1
ENST00000667719	Q7KZI7-6	0
ENST00000543387	Q13351	1
ENST00000369989	Q15853	1
ENST00000691083	Q5EBM0-4	0
